Combine Method,k=1,k=3,k=5,k=7
average,0.29946979795626094,0.33549234570056574,0.3339806697171555,0.3348422764613712
to_vote,0.30428717754007983,0.33373786775437325,0.3377076559798062,0.3374885877553405
