Combine Method,k=1,k=3,k=5,k=7
average,0.32692263720519515,0.3125607752034397,0.32094017196713465,0.31702915429533585
to_vote,0.3143110090203257,0.31219742359495545,0.3227133124282786,0.3214552696025861
