Combine Method,k=1,k=3,k=5,k=7
average,0.1595199699851879,0.31093068200238894,0.30245228767899013,0.28889149672885234
to_vote,0.15776938903091833,0.3063698138262901,0.27185340207904335,0.26913511986633243
