Combine Method,k=1,k=3,k=5,k=7
average,0.7957405965221269,0.8398955974084776,0.8456455649819836,0.8496993216565878
to_vote,0.797339477152093,0.8228406571606621,0.8295164164334797,0.8305831266260907
