Combine Method,k=1,k=3,k=5,k=7
average,0.39458837213830655,0.4145504833862154,0.4252335440143492,0.42580002757924906
to_vote,0.4093052219542384,0.41887648201376176,0.42291466693174645,0.4227239386710245
