Combine Method,k=1,k=3,k=5,k=7
average,0.5955813732905065,0.5932787683529869,0.5935210072292786,0.5935532013834676
to_vote,0.5955813732905065,0.5955813732905065,0.5955813732905065,0.5955813732905065
