Combine Method,k=1,k=3,k=5,k=7
average,0.3690147598501806,0.4255654529485947,0.43259731725840916,0.43443804954849796
to_vote,0.3690147598501806,0.4054994207160896,0.40679766192663414,0.40750970480246984
