Combine Method,k=1,k=3,k=5,k=7
average,0.3876442736087082,0.4271605331288638,0.4426791610342663,0.44678244819799734
to_vote,0.3876442736087082,0.40396162026937044,0.43043970516016655,0.43296173663989923
