Combine Method,k=1,k=3,k=5,k=7
average,0.13734157840625727,0.2822707192476369,0.3619349125532756,0.3669051707942334
to_vote,0.13734157840625727,0.2843225970840958,0.3369593380861039,0.307174295006168
